ID;ANTIGUEDAD;EDAD;ESTADO_CIVIL;HIJOS;AREA;ID_CAT;N_CATEG;PUESTO;SUELDO
1686;5;28;S;0;COMERCIAL;TL;Team Leader;LIDER DE EQUIPO;29201
1688;4;30;S;0;COMERCIAL;PM;PROJECT MANAGER;JEFE;47185
1689;4;28;C;1;FINANZAS;D;Cat : D;ANALISTA;26443
1691;4;26;S;1;DESARROLLO;D;Cat : D;TEC. DESARROLLO;18114
1692;4;30;S;0;FINANZAS;D;Cat : D;ANALISTA;29922
1699;4;46;S;1;RRHH;D;Cat : D;ANALISTA;19622
1703;4;42;C;2;PRODUCCION;G;Cat : G;TEC. MANTENIMIENTO;27700
1708;3;30;S;0;DESARROLLO;F;Cat : F;INGENIERO;25795
1709;3;28;S;0;COMERCIAL;D;Cat : D;ANALISTA;21108
1712;3;38;S;0;ALMACEN;D;Cat : D;ANALISTA;17990
1714;3;42;K;5;PRODUCCION;G;Cat : G;TEC. MANTENIMIENTO;31340
1717;3;27;S;0;LOGISTICA;TL;Team Leader;LIDER DE EQUIPO;30833
1722;3;29;S;0;PRODUCCION;E;Cat : E;LIDER DE EQUIPO;37710
1729;2;37;C;3;LOGISTICA;F;Cat : F;ANALISTA;22954
1730;2;51;C;4;LOGISTICA;F;LIDER DE EQUIPO;LIDER DE EQUIPO;29237
1732;2;29;S;0;COMERCIAL;D;Cat : D;ANALISTA;24329
1733;2;27;S;0;PRODUCCION;C;Cat: C;INGENIERO;26383
1735;2;24;S;0;FINANZAS;D;Cat : D;ANALISTA;19254
1736;1;40;S;3;GERENCIA GENERAL;C;Cat : C;ANALISTA;19128
1737;1;28;S;0;CALIDAD;G;Cat: G;JEFE;31879
1738;1;33;C;1;MASS;J;JEFE;JEFE;41351
1739;1;48;S;3;DESARROLLO;TL;Team Leader;JEFE;44869
1740;1;24;S;0;LOGISTICA;B;Cat : B;ANALISTA;14776
1741;1;25;S;0;FINANZAS;B;Cat : B;ANALISTA;16253
1742;1;29;S;0;LOGISTICA;F;Cat : F;ANALISTA;27324
1743;1;24;S;0;LOGISTICA;A;Cat : A;ANALISTA;16253
1744;1;28;S;0;CALIDAD;E;Cat : E;INGENIERO;31489
1746;1;39;K;1;LOGISTICA;G;Cat: G;LIDER DE EQUIPO;35783
1747;1;28;S;0;PRODUCCION;E;Cat : E;ANALISTA;23854
1748;1;32;K;2;COMPRAS;G;Cat: G;INGENIERO;41818
1749;1;29;S;0;PRODUCCION;C;Cat : C;INGENIERO;26928
1751;1;36;S;2;LOGISTICA;TL;Team Leader;JEFE;42768
1752;1;36;S;0;COMERCIAL;D;Cat : D;ANALISTA;21384
1753;1;42;S;0;PRODUCCION;G;Cat : G;TEC. MANTENIMIENTO;23681
1754;0;25;S;0;CALIDAD;E;Cat : E;INGENIERO;28190
1755;0;26;S;0;COMERCIAL;C;Cat : C;ANALISTA;18122
1756;0;23;S;0;PRODUCCION;C;Cat : C;INGENIERO;23398
1758;0;36;S;0;PRODUCCION;G;Cat : G;TEC. MANTENIMIENTO;24865
1759;0;25;S;0;DESARROLLO;C;Cat : C;INGENIERO;22283
1760;0;23;S;0;COMERCIAL;C;Cat : C;ANALISTA;18122
1761;0;27;S;0;MASS;E;Cat : E;ANALISTA;20136
1762;0;27;S;0;PRODUCCION;C;Cat : C;INGENIERO;22283
1763;0;27;S;0;CALIDAD;E;Cat : E;INGENIERO;28190
1764;0;23;S;0;COMERCIAL;C;Cat : C;ANALISTA;16080
1765;0;27;S;0;RRHH;D;Cat : D;ANALISTA;21600
1766;0;23;S;0;PRODUCCION;C;Cat : C;INGENIERO;22200
1767;0;32;S;1;COMERCIAL;B;Cat : B;ANALISTA;15600
1768;0;33;S;0;PRODUCCION;G;Cat : G;TEC. MANTENIMIENTO;15975
3000;7;37;S;1;CALIDAD;F;Cat : F;VOLANTE;25586
3009;6;38;S;0;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;28366
3010;6;35;C;2;PRODUCCION;F;Cat : F;LIDER DE EQUIPO;25586
3018;6;30;K;0;PRODUCCION;F;LIDER DE EQUIPO;INGENIERO;24990
3048;5;28;C;1;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;28366
3051;5;41;S;1;PRODUCCION;F;LIDER DE EQUIPO;LIDER DE EQUIPO;26414
1404;19;51;C;4;DESARROLLO;MG;GERENTE;GERENTE;79729
1464;14;38;S;1;PRODUCCION;MG;GERENTE;GERENTE;84366
1471;12;35;S;1;CALIDAD;MG;GERENTE;GERENTE;86366
1601;9;29;S;0;COMERCIAL;MG;GERENTE;GERENTE;66164
1619;8;39;C;2;LOGISTICA;MG;GERENTE;GERENTE;64016
1621;8;36;S;0;PRODUCCION;MG;GERENTE;GERENTE;71340
1687;5;36;S;0;RRHH;MG;GERENTE;GERENTE;83453
